"certifications","certifications","certification","certification exam","certification exams"
"cognitive","cognitive","cognitive services","cognitive service"
"competition","competition","competitors","competitor"
"first","first","first service","first services","first offering","first feature"
"functions","functions","serverless functions","function as a service","functions as a service"
"geographies","geographies","geography"
"global","global","worldwide","global infrastructure"
"products","products","product","service","services","offering"
"regions","regions","regional","regional infrastructure"
"released","released","release", "release date"
